Date,Open,High,Low,Close,Adj Close,Volume
1/1/71,120.529999,120.550003,120.239998,120.239998,120.239998,0
2/1/71,120.260002,120.290001,120.120003,120.260002,120.260002,0
3/1/71,120.25,120.25,120.129997,120.169998,120.169998,0
4/1/71,120.18,120.309998,120.160004,120.190002,120.190002,0
5/1/71,120.169998,120.169998,118.910004,119.43,119.43,0
6/1/71,119.690002,119.690002,119.160004,119.160004,119.160004,0
7/1/71,119.169998,119.209999,118.760002,118.760002,118.760002,0
8/1/71,118.790001,118.809998,116.470001,116.470001,116.470001,0
9/1/71,116.580002,116.580002,114.93,114.93,114.93,0
10/1/71,114.809998,114.879997,114.529999,114.650002,114.650002,0
11/1/71,114.629997,114.68,113.93,114.010002,114.010002,0
12/1/71,113.860001,113.860001,111.160004,111.209999,111.209999,0
1/1/72,111.190002,111.269997,109.599998,109.599998,109.599998,0
2/1/72,109.43,109.43,108.559998,108.68,108.68,0
3/1/72,108.650002,109.190002,107.760002,108.400002,108.400002,0
4/1/72,108.400002,108.849998,108.269997,108.620003,108.620003,0
5/1/72,108.580002,108.580002,108.169998,108.169998,108.169998,0
6/1/72,108.120003,108.769997,107.970001,108.510002,108.510002,0
7/1/72,108.610001,108.790001,108.459999,108.760002,108.760002,0
8/1/72,108.769997,109.029999,108.760002,108.959999,108.959999,0
9/1/72,108.980003,109.389999,108.910004,109.389999,109.389999,0
10/1/72,109.510002,109.980003,109.220001,109.900002,109.900002,0
11/1/72,109.75,109.93,109.730003,109.849998,109.849998,0
12/1/72,109.870003,110.199997,109.870003,110.139999,110.139999,0
1/1/73,110.199997,110.309998,109,109.010002,109.010002,0
2/1/73,108.790001,109.050003,100.129997,100.129997,100.129997,0
3/1/73,99.690002,101.169998,98.720001,101.169998,101.169998,0
4/1/73,101.459999,101.690002,100.970001,101.43,101.43,0
5/1/73,101.400002,101.489998,98,98,98,0
6/1/73,97.559998,97.629997,93.879997,93.879997,93.879997,0
7/1/73,93.419998,94.220001,90.540001,92.910004,92.910004,0
8/1/73,92.870003,96.419998,92.870003,95.769997,95.769997,0
9/1/73,95.779999,95.779999,94.300003,94.790001,94.790001,0
10/1/73,94.739998,95.190002,93.779999,95.059998,95.059998,0
11/1/73,95.300003,100.900002,95.300003,100.349998,100.349998,0
12/1/73,100.589996,102.400002,100.589996,102.389999,102.389999,0
1/1/74,103.660004,109.5,103.660004,105.900002,105.900002,0
2/1/74,106.209999,106.209999,102.190002,103.029999,103.029999,0
3/1/74,103.690002,103.739998,99.059998,99.510002,99.510002,0
4/1/74,99.919998,100.900002,98.220001,98.489998,98.489998,0
5/1/74,98.480003,100.099998,96.860001,99.769997,99.769997,0
6/1/74,99.559998,101.160004,99.080002,100.160004,100.160004,0
7/1/74,100.43,100.68,98.959999,100.540001,100.540001,0
