"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-01","Jan-1953","IDX","Index","0","Units",,,100.7684,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-02","Feb-1953","IDX","Index","0","Units",,,100.3726,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-03","Mar-1953","IDX","Index","0","Units",,,99.84618,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-04","Apr-1953","IDX","Index","0","Units",,,99.48845,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-05","May-1953","IDX","Index","0","Units",,,99.18415,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-06","Jun-1953","IDX","Index","0","Units",,,98.88673,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-07","Jul-1953","IDX","Index","0","Units",,,98.4628,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-08","Aug-1953","IDX","Index","0","Units",,,97.90589,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-09","Sep-1953","IDX","Index","0","Units",,,97.30064,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-10","Oct-1953","IDX","Index","0","Units",,,96.79439,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-11","Nov-1953","IDX","Index","0","Units",,,96.51275,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1953-12","Dec-1953","IDX","Index","0","Units",,,96.48061,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-01","Jan-1954","IDX","Index","0","Units",,,96.79924,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-02","Feb-1954","IDX","Index","0","Units",,,97.40678,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-03","Mar-1954","IDX","Index","0","Units",,,98.13579,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-04","Apr-1954","IDX","Index","0","Units",,,98.79542,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1954-05","May-1954","IDX","Index","0","Units",,,99.2785,,
