Date,Open,High,Low,Close,Adj Close, Volume 
5/1/1940,12.03,12.12,9.14,9.27,9.27, -   
6/1/1940,9.11,10.1,8.99,9.98,9.98, -   
7/1/1940,9.87,10.33,9.85,10.29,10.29, -   
8/1/1940,10.26,10.5,9.84,10.5,10.5, -   
9/1/1940,10.56,10.93,10.3,10.66,10.66, -   
10/1/1940,10.81,11.08,10.47,11.08,11.08, -   
11/1/1940,11.08,11.39,10.56,10.57,10.57, -   
12/1/1940,10.62,10.69,10.38,10.58,10.58, -   
1/1/1941,10.48,10.86,10.04,10.07,10.07, -   
2/1/1941,9.96,10.19,9.53,9.92,9.92, -   
3/1/1941,9.77,10.1,9.76,9.96,9.96, -   
4/1/1941,9.97,10.16,9.31,9.31,9.31, -   
5/1/1941,9.3,9.56,9.3,9.38,9.38, -   
6/1/1941,9.36,9.95,9.36,9.85,9.85, -   
7/1/1941,9.82,10.47,9.82,10.39,10.39, -   
8/1/1941,10.34,10.36,10.03,10.28,10.28, -   
9/1/1941,10.34,10.47,10.09,10.2,10.2, -   
10/1/1941,10.17,10.17,9.5,9.5,9.5, -   
11/1/1941,9.59,9.66,9.12,9.12,9.12, -   
12/1/1941,9.07,9.38,8.37,8.69,8.69, -   
1/1/1942,8.89,9.09,8.81,8.85,8.85, -   
2/1/1942,8.84,8.97,8.46,8.59,8.59, -   
3/1/1942,8.47,8.6,7.98,8.01,8.01, -   
4/1/1942,8.05,8.2,7.47,7.66,7.66, -   
5/1/1942,7.71,8.18,7.71,8.15,8.15, -   
6/1/1942,8.19,8.53,8.18,8.3,8.3, -   
7/1/1942,8.23,8.83,8.23,8.56,8.56, -   
8/1/1942,8.57,8.73,8.46,8.62,8.62, -   
9/1/1942,8.62,8.9,8.54,8.85,8.85, -   
10/1/1942,8.92,9.48,8.92,9.36,9.36, -   
11/1/1942,9.48,9.69,9.29,9.29,9.29, -   
12/1/1942,9.28,9.77,9.28,9.77,9.77, -   
1/1/1943,9.92,10.44,9.89,10.44,10.44, -   
2/1/1943,10.52,10.97,10.43,10.97,10.97, -   
3/1/1943,10.92,11.59,10.84,11.58,11.58, -   
4/1/1943,11.59,11.76,11.14,11.59,11.59, -   
5/1/1943,11.82,12.05,11.7,12.05,12.05, -   
6/1/1943,12.18,12.35,11.88,12.35,12.35, -   
7/1/1943,12.36,12.64,11.85,11.85,11.85, -   
8/1/1943,11.47,11.92,11.47,11.8,11.8, -   
9/1/1943,11.84,12.24,11.78,12.08,12.08, -   
10/1/1943,12.09,12.09,11.67,11.91,11.91, -   
11/1/1943,11.92,11.92,10.99,11.02,11.02, -   
12/1/1943,11.13,11.69,11.13,11.67,11.67, -   
1/1/1944,11.66,11.94,11.66,11.85,11.85, -   
2/1/1944,11.83,11.89,11.56,11.82,11.82, -   
3/1/1944,11.87,12.31,11.87,12.02,12.02, -   
4/1/1944,11.96,12.06,11.67,11.87,11.87, -   
5/1/1944,11.96,12.35,11.95,12.35,12.35, -   
6/1/1944,12.31,13.02,12.23,12.98,12.98, -   
7/1/1944,13.11,13.27,12.7,12.71,12.71, -   
8/1/1944,12.78,13.04,12.61,12.82,12.82, -   
9/1/1944,12.86,12.86,12.35,12.74,12.74, -   
10/1/1944,12.8,13.07,12.73,12.78,12.78, -   
11/1/1944,12.83,12.98,12.67,12.83,12.83, -   
12/1/1944,12.8,13.28,12.8,13.28,13.28, -   
1/1/1945,13.33,13.69,13.21,13.47,13.47, -   
2/1/1945,13.5,14.3,13.5,14.3,14.3, -   
3/1/1945,14.32,14.38,13.39,13.61,13.61, -   
4/1/1945,13.77,14.84,13.67,14.84,14.84, -   
5/1/1945,14.79,15.11,14.62,15.01,15.01, -   
6/1/1945,15.03,15.37,14.87,14.87,14.87, -   
7/1/1945,15.03,15.1,14.38,14.66,14.66, -   
8/1/1945,14.68,15.51,14.4,15.51,15.51, -   
9/1/1945,15.51,16.049999,15.51,16.049999,16.049999, -   
10/1/1945,16.33,16.719999,16.299999,16.65,16.65, -   
11/1/1945,16.870001,17.27,16.85,17.190001,17.190001, -   
12/1/1945,17.440001,17.68,16.940001,17.360001,17.360001, -   
1/1/1946,17.25,18.67,17.23,18.57,18.57, -   
2/1/1946,18.639999,18.700001,16.809999,17.280001,17.280001, -   
3/1/1946,17.209999,18.07,17.09,18.040001,18.040001, -   
4/1/1946,18.059999,18.9,18.059999,18.76,18.76, -   
5/1/1946,18.709999,19.25,18.26,19.18,19.18, -   
6/1/1946,19.049999,19.049999,18.030001,18.43,18.43, -   
7/1/1946,18.540001,18.540001,17.389999,17.959999,17.959999, -   
8/1/1946,18.01,18.23,16.65,16.65,16.65, -   
9/1/1946,15,15.99,14.33,14.96,14.96, -   
10/1/1946,14.92,15.3,14.12,14.84,14.84, -   
11/1/1946,15.07,15.33,14.13,14.68,14.68, -   
12/1/1946,14.44,15.5,14.44,15.3,15.3, -   
1/1/1947,15.2,15.66,14.77,15.66,15.66, -   
2/1/1947,15.8,16.139999,15.3,15.43,15.43, -   
3/1/1947,15.41,15.65,14.78,15.17,15.17, -   
4/1/1947,15.23,15.23,14.09,14.58,14.58, -   
5/1/1947,14.69,14.85,13.77,14.45,14.45, -   
6/1/1947,14.3,15.24,14.3,15.21,15.21, -   
7/1/1947,15.46,16.120001,15.44,15.76,15.76, -   
