Date,Value,Qtr Flag
31-Jul-1938,13.13,
30-Jun-1938,14.05,Q
31-May-1938,15.26,
30-Apr-1938,16.36,
31-Mar-1938,17.69,Q
28-Feb-1938,18.67,
31-Jan-1938,19.5,
31-Dec-1937,20.18,Q
30-Nov-1937,20.58,
31-Oct-1937,20.96,
30-Sep-1937,21.49,Q
31-Aug-1937,21.35,
31-Jul-1937,21.05,
30-Jun-1937,20.9,Q
31-May-1937,20.54,
30-Apr-1937,20.32,
31-Mar-1937,20.11,Q
28-Feb-1937,19.7,
31-Jan-1937,19.15,
31-Dec-1936,18.74,Q
30-Nov-1936,18.25,
31-Oct-1936,17.76,
30-Sep-1936,17.27,Q
31-Aug-1936,16.9,
31-Jul-1936,16.65,
30-Jun-1936,16.4,Q
31-May-1936,15.96,
30-Apr-1936,15.39,
31-Mar-1936,14.83,Q
29-Feb-1936,14.54,
31-Jan-1936,14.35,
31-Dec-1935,14.17,Q
30-Nov-1935,14.17,
31-Oct-1935,14.27,
30-Sep-1935,14.27,Q
31-Aug-1935,14.58,
31-Jul-1935,14.89,
30-Jun-1935,15.21,Q
31-May-1935,14.6,
30-Apr-1935,14.1,
31-Mar-1935,13.71,Q
28-Feb-1935,12.2,
31-Jan-1935,10.78,
31-Dec-1934,9.41,Q
30-Nov-1934,9.26,
31-Oct-1934,9.18,
30-Sep-1934,9.03,Q
31-Aug-1934,9.08,
31-Jul-1934,9.01,
30-Jun-1934,8.93,Q
31-May-1934,8.91,
30-Apr-1934,8.83,
31-Mar-1934,8.75,Q
28-Feb-1934,8.67,
31-Jan-1934,8.66,
31-Dec-1933,8.57,Q
30-Nov-1933,8.52,
31-Oct-1933,8.48,
30-Sep-1933,8.43,Q
31-Aug-1933,8.38,
31-Jul-1933,8.39,
30-Jun-1933,8.61,Q
31-May-1933,8.62,
30-Apr-1933,8.57,
31-Mar-1933,8.52,Q
28-Feb-1933,8.4,
31-Jan-1933,8.22,
31-Dec-1932,8.05,Q
30-Nov-1932,8.31,
31-Oct-1932,8.57,
30-Sep-1932,8.83,Q
31-Aug-1932,9.08,
31-Jul-1932,9.33,
30-Jun-1932,9.65,Q
31-May-1932,9.89,
30-Apr-1932,10.05,
31-Mar-1932,10.29,Q
29-Feb-1932,10.52,
31-Jan-1932,10.67,
31-Dec-1931,10.75,Q
30-Nov-1931,11.2,
31-Oct-1931,11.57,
30-Sep-1931,12,Q
31-Aug-1931,12.43,
31-Jul-1931,12.95,
30-Jun-1931,13.46,Q
31-May-1931,13.79,
30-Apr-1931,14.1,
31-Mar-1931,14.51,Q
28-Feb-1931,14.91,
31-Jan-1931,15.21,
31-Dec-1930,15.5,Q
30-Nov-1930,16.04,
31-Oct-1930,16.79,
30-Sep-1930,17.51,Q
31-Aug-1930,18.44,
31-Jul-1930,19.17,
30-Jun-1930,19.75,Q
31-May-1930,20.44,
30-Apr-1930,21.14,
31-Mar-1930,22.07,Q
28-Feb-1930,22.74,
31-Jan-1930,23.42,
